date,surface,model,effort,input_tokens,output_tokens,tool_calls,attachments,turn_pos,cache_state,tokens_measured,pct_session,pct_week,baseline_id,notes
2026-07-05,code,opus,normal,,,1,0,1,warm,48000,24,3,refactor-module,Claude Code status line: exact tokens + %; clean calibration point
2026-07-08,web,unknown,high,,,8,1,mid,warm,,54,,,"heavy consolidation ~39min; model possibly Fable (if so, real Opus-eq work ~27%)"
2026-08-20,code,sonnet,normal,208,186675,59,0,late,warm,184308,92,,session-aggregate-49-52,"РЕАЛЬНЫЙ ЛОГ сессии (~/.claude/projects/.../*.jsonl, не оценка статус-строки): 110 ходов главного треда, cache_read=13290805, cache_creation=1078286, hit rate 92.5%; input почти весь идёт через кэш (208 некэш. input за всю сессию); макс. контекст хода 184308≈92% окна 200K без единого auto-compact — сильное подтверждение калибровки сессии (F7 накопление, session≈200K)"
2026-08-20,code,sonnet,normal,,,4,0,mid,n/a,342164,,,subagent-fanout-4x,"4 параллельных Task-субагента (общий ресёрч): собственный расход 97979+87702+93570+62913=342164 ток. НЕ вошёл в контекст родителя — рост главного треда в момент спавна остался в пределах обычного хода-к-ходу приращения; прямое эмпирическое подтверждение механики F5/subagent-изоляции из документации (49 §3), не только со слов доков"
2026-08-21,code,opus-5,xhigh,207783729,437384,,0,484,warm,797091,,,synthesis-watch-vi,"🔴 ИСПРАВЛЕНО 21.08.2026 (PIT-H): исходные числа считались ПО СТРОКАМ лога, а одна реплика пишется несколькими строками с ОДИНАКОВЫМ usage — завышение x2.17. Верные значения по полному логу 33ee0402, дедуп по message.id: 484 реплики (не 648), cache_read 207783729 (не 232700651), cache_creation 1234298 (не 1638923), выход 437384 (не 691925), макс. контекст 797091. МАКСИМУМ контекста задвоением НЕ затронут (это max, а не сумма) — вывод о потолке устоял. Прирост ток/ход и число ходов — неверны. Ниже исходный текст замера: || ПОЛНЫЙ ЛОГ сессии вахты VI: контекст дошёл до 710599 БЕЗ единого auto-compact (падений контекста ноль) — поднимает потолок с >325K до >710K. cache_read/cache_creation = 232700651/1638923 -> hit 99.3%. Прирост контекста 1029 ток/ход (регрессия по 648 ходам). ЦЕНА ХОДА РАСТЁТ: 14537 -> 75921 усл.ед. на диапазоне 25K->710K, x5.2; по сырому cache_read ходы <100K дают 59851, ходы >500K — 615727, x10.3"
2026-08-21,code,sonnet-5,unknown,93982113,273223,,0,282,warm,567332,,,parallel-session-same-day,"🔴 ИСПРАВЛЕНО 21.08.2026 (PIT-H): те же грабли, завышение x2.07. Верно по логу 0cd51fbc: 282 реплики (не 590), cache_read 93982113, cache_creation 1989531, выход 273223, макс. 567332, hit 97.9% (не 96.7%). СЛЕДСТВИЕ ДЛЯ ВЫВОДА: разрыв по записи в кэш с Opus сжался с x3.9 до x2.8 на реплику (Sonnet 7055 ток/реплику против Opus 2550) — направление вывода устояло, величина нет. Ниже исходный текст замера: || ПОЛНЫЙ ЛОГ параллельной сессии того же дня, та же репа: контекст до 567332, но ТРИ падения контекста до нуля (ходы 18/53/402 — при 84K/157K/454K). На auto-compact не похоже (компакт не обнуляет) — вероятнее рестарт сессии, требует разбора. hit 96.7%, cache_creation 6370597 — ВЧЕТВЕРО больше, чем у Opus-сессии сопоставимой длины. Прирост 833 ток/ход. Рост cache_read <100K->500K+: 43299->538731, x12.4"
2026-08-21,code,sonnet-5,low,,,2,0,mid,cold,191487,,,subagent-delegation-2x,два субагента repo-inventory (dota-dossier + сверка 5 реп): 75620 + 115867 = 191487 собственных токенов. В JSONL РОДИТЕЛЯ НЕ ПОПАДАЮТ ВОВСЕ — записей с isSidechain=true ноль в обоих логах; расход виден только в task-notification. Значит замер субагентского расхода требует их собственных логов либо парсинга уведомлений
2026-08-21,code,opus-5,high,343390731,618304,,3736,608,warm,998655,,,watch-vii-compact-observed,"CLI 2.1.238 · Opus 5 · effort=high. ЛОГ 32f88959 (вахта VII), дедуп по message.id (1110 записей -> 608 реплик, x1.83). ГЛАВНОЕ: AUTO-COMPACT НАБЛЮДЁН ЖИВЬЁМ — на ходу 597 контекст 998655 -> 46603. Это ПЕРВОЕ прямое наблюдение потолка, а не оценка снизу: прежние записи (>325K, >710K) были границами измеренного. Окно ~1M, компакт срезает до 4.7% окна. cache_read/creation=343389515/2078278 -> hit 99.40%, весь кэш 1h TTL, 5m ноль. Некэшированный вход за 608 ходов — 1216 токенов. thinking 141369 = 23% выхода при effort=high. ЦЕНА ХОДА подтверждает C=0.1*контекст+5*выход: ошибка модели -2.0% на бакете 700-1000K, -2.9% на 500-700K, -6.4% на 150-300K, растёт на малом контексте (там доля записи в кэш выше). Рост цены хода x4.5 на 25K->975K по бакетам. ПРОМАХ КЭША ИЗМЕРЕН (закрывает F8 не по TTL): 3 хода из 608 (0.5%) дали 37.7% всей записи в кэш; причина НЕ пауза (пауз >60 мин в сессии ноль, TTL 1ч не истекал), а СМЕНА ПРЕФИКСА — /reload-plugins в 14:39 после упора в five_hour лимит и /login в 17:28. После каждого выжило ровно 16900 токенов кэша (системный промпт+tools), остальное переписано: на 675K это 657998 ток. записи = x12.1 цены того же хода при попадании = 12.7 обычных ходов. Переплата за 3 промаха 1124877 усл.ед. = 2.8% цены всей сессии"
2026-08-21,code,opus-5,high,346496269,652429,,3888,633,warm,1000215,,,watch-vii-compaction,"CLI 2.1.238 · Opus 5 · effort=high. КОМПАКТ ИЗМЕРЕН ПО МАРКЕРУ compact_boundary (не по эвристике падения контекста). trigger=auto, preTokens=1000215 -> postTokens=13452 (сводка = 1.3% замененного), cumulativeDroppedTokens=986763, durationMs=174989 (2 мин 55 с), preservedMessages=27 сообщений переносятся ДОСЛОВНО, preCompactDiscoveredTools=[WebFetch,WebSearch]. ВТОРАЯ ТОЧКА: лог ae4ba504 (Sonnet 5, 08.08.2026) trigger=auto 934095 -> 31664 за 715 с. Порог зависит от модели, обе точки близки к 1M. ЭКОНОМИКА: ход на пределе ~107000 усл.ед., первый ход после компакта 41645 (запись префикса 26481), далее ~13000; средний до 66831 против 21538 после. Экономия ~94000/ход при ОЦЕНОЧНОЙ цене компакции ~167000 (чтение 1M x0.1 + сводка 13452 x5) -> окупается за ~1.8 хода. 🔴 ЦЕНА САМОЙ КОМПАКЦИИ В ЛОГ НЕ ПИШЕТСЯ: между 20:16:46 и 20:21:04 ни одной записи с usage, значит суммарный расход любой сессии с компактом занижен. Прирост контекста ПОСЛЕ компакта 2206 ток/реплику против 1628 до. ЗАКРЫТ §5.12: сплошной поиск маркера по всем логам диска дал ровно 2 компакта; три падения контекста в логе 0cd51fbc маркера НЕ имеют = рестарты, не компакция"
2026-08-22,code,opus-5,high,355570497,698585,,4143,678,warm,998655,,,synthesis-watch-vii,"CLI 2.1.238 · Opus 5 · effort=high всю сессию. ИТОГОВАЯ строка вахты VII (закрывает сессию; две предыдущие строки watch-vii-* — промежуточные срезы той же сессии, НЕ независимые точки, суммировать их нельзя). 678 реплик после дедупа по message.id (1266 записей, x1.87). Сессия ПРОШЛА auto-compact на ходу 597 и продолжилась: макс. контекст до компакта 998655, после — набрано заново. hit 99.3%, cache_read/creation=353107208/2461933, весь кэш 1h TTL. Некэшированный вход за 678 ходов — 1356 токенов. thinking 160593 = 23% выхода. ЧТО ЗАКРЫЛА ЭТА СЕССИЯ ИЗ BACKLOG §5: п.12 (компакт vs рестарт — закрыт маркером compact_boundary), п.7/F8 наполовину (цена промаха кэша измерена, но причина оказалась смена префикса, а не пауза>TTL — истечение TTL по-прежнему не измерено, пауз >60 мин не было). ЧТО НЕ ЗАКРЫЛА: F1 множители моделей (сессия одномодельная), F2 effort (весь прогон на high, нет пары), F6 вложения (4143 записи с attachment — это прокси, служебные напоминания среды неотделимы от файлов владельца), F9 поверхность. Другого аккаунта тоже не было."
2026-08-22,code,opus-5,high,133975915,361875,,2373,349,warm,706206,,,watch-viii-synthesis,"CLI 2.1.238 · Opus 5 · effort=high всю сессию (349/349 реплик). ЛОГ 2de60c0b-4750-4454-82cc-2d4f069c17ad.jsonl, дедуп по message.id (742 строки -> 349 реплик, x2.13). Канарейка --selftest ЗЕЛЁНАЯ до замера. Контекст: макс 706206, медиана 382518, прирост 1912 ток/ход, падений 0, маркеров compact_boundary 0 — компакта НЕ было. Кэш: read 132490340 / creation 1484877 = hit 98.9%; TTL 1ч 1484877, 5мин 0 (дешёвый режим, овераджа нет); creation на реплику 4255 (прежние Opus: 2550 при 484 репликах, 3418 при 608). НЕКЭШИРОВАННЫЙ вход за всю сессию 698 токенов. Выход 361875, из них thinking 79037 = 21.8%. ЦЕНА ХОДА по бакетам 25K: 11549 -> 73399, рост x6.4 на диапазоне 25000..700000 (действителен только на нём, 28 §10б). АНОМАЛИЯ: бакет 650000 дал 157935 при тренде ~70000 (x2.4) — предположительно ходы с массовыми дописываниями decisions.md и сборкой архива [предп., OFAT не ставился]. СУБАГЕНТЫ: спавнился 1 (repo-inventory), записей isSidechain в логе родителя 0 — независимое подтверждение F5 (изоляция контекста)."
