date,run,source_type,files_before,mb_before,files_after,mb_after,text_extracted,loss_named,reversible,tool
2026-08-22,telegram-mozg-psikhologiya,telegram-html-export,2799,125.0,4,1.67,"1425 сообщений из 2799 (904 только вложение)","1808 фото 119МБ + 87 стикеров + 8 видео + 3.7МБ html",yes,tools/tg_export_to_md.py
2026-08-22,epstein-files-dataset,pdf-dataset,33382,100.0,1,0.01,"опись по 12 партиям, текст не извлекался","весь датасет: 31841 pdf + 909 html + 615 mp4",yes,вручную
2026-08-22,health-vault-pdf,medical-scans,269,,0,,"не начат — эталоны остаются, выжимки не сделаны","—",no,🔲 нужен PDF→md
2026-08-23,docs-to-md-system,"pdf/docx/pptx/xlsx",5236,,543,,"360 за прогон, 76525 знаков с 77 страниц","40 сканов без текстового слоя (нужен OCR), заглушки iCloud пропущены",yes,tools/docs_to_md.py
2026-08-27,docs-to-md-system-2,"pdf/docx/pptx/xlsx",1513,,1511,,"472 новых выжимки (academic-portfolio 77 · it-base 40 · legal-knowledge-base 322 · personal-finance-dss 11 · research-craft 16 · finpilot 4)","2 файла всё ещё непрочитанные (не st_blocks-заглушки — сеть/диск, разобрать вручную) · 34 новых скана без текстового слоя (нужен OCR, поверх прежних 40) · строка health-vault-pdf выше устарела — при проверке 27.08 все 269 PDF уже несли выжимку из прогона 2026-08-23, «не начат» было неактуальной записью",yes,tools/docs_to_md.py
2026-08-27,method-images-pass-1,"image-series (фото/скрины/диаграммы)",1650,,1383,,"28 серий / 238 кадров прошли полный метод (0a/0b/0c) + 4 серии закрыты кросс-файл-указателем на уже разобранное + 2 серии (68 кадров, dota-dossier history) признаны избыточными — тот же предмет уже есть точнее в структурированных данных, не переописаны","portrait-of-taste (107 серий/692 кадра, фото именованных людей) и misc-vault/Дневник рефлексий Notion (24 серии/248 кадров, личный дневник) — намеренно выведены из прогона решением владельца 27.08.2026, задача на будущее в TASKS.md, не входят в счёт закрытия очереди",yes,"вручную по METHOD_IMAGES.md; инвентаризация tools/image_queue.py"
2026-08-27,method-images-pass-2,"image-series (фото/скрины/диаграммы)",1383,,1361,,"12 серий / 22 кадра прошли полный метод + 6 серий закрыты кросс-файл-указателем на уже разобранное (полные структурные дубли ml-base 02-courses↔root, academic-portfolio↔master-admission, it-base Databases↔workbench-models)","portrait-of-taste и misc-vault-дневник по-прежнему выведены (см. предыдущую строку)",yes,"вручную по METHOD_IMAGES.md; инвентаризация tools/image_queue.py"
2026-08-27,method-images-pass-3,"image-series (научные фигуры/графики опроса)",1361,,1335,,"2 серии / 11 кадров прошли полный метод (3 фигуры статьи КИМ + 8 графиков опроса пользователей, числа сверены с уже существующим текстовым синтезом finpilot_recommendations.md — совпадают) + 2 серии закрыты кросс-файл-указателем (science×2 ↔ personal-finance-dss)",—,yes,"вручную по METHOD_IMAGES.md; инвентаризация tools/image_queue.py"
2026-08-27,method-images-pass-4,"image-series (учебные графы, тестовые фото)",1335,,1323,,"2 серии / 6 кадров прошли полный метод (иллюстрации алгоритма Брона-Кербоша, фото для склейки панорамы ДЗ3 — не личные, тестовый материал курса) + 2 серии закрыты кросс-файл-указателем (it-base ↔ academic-portfolio, it-base ↔ ml-base)",—,yes,"вручную по METHOD_IMAGES.md; инвентаризация tools/image_queue.py"
2026-08-27,method-images-pass-5,"image-series (инфографика/статьи/аналитика)",1323,,1307,,"4 серии / 15 кадров прошли полный метод (BPMN EN, категоризация трат — найдена слабая категория «Переводы», e-Informatica SEJ desk rejection, 5 инфографик dota-dossier TI2026) + 1 серия закрыта кросс-файл-указателем (science↔personal-finance-dss fig_function_tree) + 1 серия свёрнута как уже разобранная в milfhunter-deep-analysis.md (§7.2)",—,yes,"вручную по METHOD_IMAGES.md; инвентаризация tools/image_queue.py"
